id;country_from;location_from_id;country_to;location_to_id;transport_mode;equipment_id;supplier_id;match_supplier_pickup;match_supplier_delivery;owned_container;route_id;service_time;rate_basis;charge;charge_fix;currency;not_exclude;distance_min;distance_max;estimate_exclude;remark;remark_cn;create_date;update_date
13.00;BY;Brest, Brest;CN;Zhengzhou, Henan;RAIL;20DC;19;;;COC;Brest-Zhengzhou(South);14.00;EquipmentCount;2660;0;USD;;;;;;;;
14.00;BY;Brest, Brest;CN;Zhengzhou, Henan;RAIL;20DC;19;;;SOC;Brest-Zhengzhou(South);14.00;EquipmentCount;2960;0;USD;;;;;;;;
15.00;BY;Brest, Brest;CN;Zhengzhou, Henan;RAIL;40DC;19;;;COC;Brest-Zhengzhou(South);14.00;EquipmentCount;3600;0;USD;;;;;;;;
16.00;BY;Brest, Brest;CN;Zhengzhou, Henan;RAIL;40DC;19;;;SOC;Brest-Zhengzhou(South);14.00;EquipmentCount;3300;0;USD;;;;;;;;
17.00;BY;Brest, Brest;RU;Saint Petersburg, St.-Petersburg;AUTO;-;20;;;-;-;2.00;EquipmentCount;2520;0;USD;;;;;Empty container return at the place of pick up/destination. Dropp-off fee is subject of confirmation;空箱归还到提箱地/目的地，需提前确认退箱费;;
18.00;BY;Brest, Brest;UA;Kyiv, Kyiv City;AUTO;-;20;;;-;-;1.00;EquipmentCount;1000;0;EUR;;;;;Empty container return at the place of pick up/destination. Dropp-off fee is subject of confirmation;空箱归还到提箱地/目的地，需提前确认退箱费;;
19.00;BY;Kolyadichi, Minsk;BY;Baranovichi, Brest;AUTO;-;20;;;-;-;1.00;EquipmentCount;520;0;USD;;;;;Empty container return at the place of pick up/destination. Dropp-off fee is subject of confirmation;空箱归还到提箱地/目的地，需提前确认退箱费;;
20.00;BY;Kolyadichi, Minsk;BY;Barysaw, Minsk;AUTO;-;20;;;-;-;3.00;EquipmentCount;520;0;USD;;;;1;Empty container return at the place of pick up/destination. Dropp-off fee is subject of confirmation;空箱归还到提箱地/目的地，需提前确认退箱费;;
21.00;BY;Kolyadichi, Minsk;BY;Brest, Brest;AUTO;-;20;;;-;-;3.00;EquipmentCount;840;0;USD;;;;;Empty container return at the place of pick up/destination. Dropp-off fee is subject of confirmation;空箱归还到提箱地/目的地，需提前确认退箱费;;
22.00;BY;Kolyadichi, Minsk;BY;Gomel, Gomel;AUTO;-;20;;;-;-;3.00;EquipmentCount;670;0;USD;;;;;Empty container return at the place of pick up/destination. Dropp-off fee is subject of confirmation;空箱归还到提箱地/目的地，需提前确认退箱费;;
23.00;BY;Kolyadichi, Minsk;BY;Hrodna, Grodnenskaya;AUTO;-;20;;;-;-;3.00;EquipmentCount;840;0;USD;;;;;Empty container return at the place of pick up/destination. Dropp-off fee is subject of confirmation;空箱归还到提箱地/目的地，需提前确认退箱费;;
24.00;BY;Kolyadichi, Minsk;BY;Kolyadichi, Minsk;AUTO;-;1;;;-;-;1.00;EquipmentCount;320;0;USD;;;;1;;;;
25.00;BY;Kolyadichi, Minsk;BY;Mahilyow, Mogilev;AUTO;-;20;;;-;-;3.00;EquipmentCount;720;0;USD;;;;;Empty container return at the place of pick up/destination. Dropp-off fee is subject of confirmation;空箱归还到提箱地/目的地，需提前确认退箱费;;
26.00;BY;Kolyadichi, Minsk;BY;Minsk, Minsk City;AUTO;-;20;;;-;-;1.00;EquipmentCount;320;0;USD;;;;1;Empty container return at the place of pick up/destination. Dropp-off fee is subject of confirmation;空箱归还到提箱地/目的地，需提前确认退箱费;;
27.00;BY;Kolyadichi, Minsk;BY;Vitebsk, Vitebsk;AUTO;-;20;;;-;-;3.00;EquipmentCount;840;0;USD;;;;;Empty container return at the place of pick up/destination. Dropp-off fee is subject of confirmation;空箱归还到提箱地/目的地，需提前确认退箱费;;
28.00;BY;Kolyadichi, Minsk;DE;Hamburg, Hamburg;AUTO;-;20;;;-;-;4.00;EquipmentCount;2400;0;EUR;;;;;Empty container return at the place of pick up/destination. Dropp-off fee is subject of confirmation;空箱归还到提箱地/目的地，需提前确认退箱费;;
29.00;BY;Kolyadichi, Minsk;EE;Tallinn, Harjumaa;AUTO;-;3;;;-;-;5.00;EquipmentCount;1440;0;EUR;;;;;Empty container return at the place of pick up/destination. Dropp-off fee is subject of confirmation;空箱归还到提箱地/目的地，需提前确认退箱费;;
30.00;BY;Kolyadichi, Minsk;LT;Kaunas, Kaunas;AUTO;-;20;;;-;-;2.00;EquipmentCount;1100;0;EUR;;;;;Empty container return at the place of pick up/destination. Dropp-off fee is subject of confirmation;空箱归还到提箱地/目的地，需提前确认退箱费;;
31.00;BY;Kolyadichi, Minsk;LT;Vilnius, Vilnius;AUTO;-;20;;;-;-;4.00;EquipmentCount;920;0;USD;;;;;Empty container return at the place of pick up/destination. Dropp-off fee is subject of confirmation;空箱归还到提箱地/目的地，需提前确认退箱费;;
32.00;BY;Kolyadichi, Minsk;LV;Riga, Riga;AUTO;-;20;;;-;-;4.00;EquipmentCount;1200;0;EUR;;;;;Empty container return at the place of pick up/destination. Dropp-off fee is subject of confirmation;空箱归还到提箱地/目的地，需提前确认退箱费;;
33.00;BY;Kolyadichi, Minsk;PL;Malaszewicze, Lublin;AUTO;-;20;;;-;-;4.00;EquipmentCount;1000;0;EUR;;;;;Empty container return at the place of pick up/destination. Dropp-off fee is subject of confirmation;空箱归还到提箱地/目的地，需提前确认退箱费;;
34.00;BY;Kolyadichi, Minsk;PL;Warsaw, Mazovia;AUTO;-;20;;;-;-;4.00;EquipmentCount;1300;0;EUR;;;;;Empty container return at the place of pick up/destination. Dropp-off fee is subject of confirmation;空箱归还到提箱地/目的地，需提前确认退箱费;;
35.00;BY;Kolyadichi, Minsk;RU;Moscow, Moscow;AUTO;-;20;;;-;-;4.00;EquipmentCount;1500;0;EUR;;;;;Empty container return at the place of pick up/destination. Dropp-off fee is subject of confirmation;空箱归还到提箱地/目的地，需提前确认退箱费;;
38.00;BY;Minsk, Minsk City;PL;Lodz, Lodz Voivodeship;AUTO;-;20;;;-;-;1.00;EquipmentCount;1350;0;EUR;;;;;Empty container return at the place of pick up/destination. Dropp-off fee is subject of confirmation;空箱归还到提箱地/目的地，需提前确认退箱费;;
39.00;BY;Minsk, Minsk City;PL;Malaszewicze, Lublin;AUTO;-;20;;;-;-;4.00;EquipmentCount;1000;0;EUR;;;;;Empty container return at the place of pick up/destination. Dropp-off fee is subject of confirmation;空箱归还到提箱地/目的地，需提前确认退箱费;;
40.00;CN;Anqing, Anhui;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;2.00;EquipmentCount;780;0;USD;;;;;;;;
41.00;CN;Baoding, Hebei;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;2.00;EquipmentCount;680;0;USD;;;;;;;;
43.00;CN;Beijing, Beijing;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;2.00;EquipmentCount;780;0;USD;;;;;;;;
46.00;CN;Changsha, Hunan;DE;Duisburg, North Rhine-Westphalia;RAIL;40HC;11;;;COC;Changsha-Duisburg(North);18.00;EquipmentCount;3070;0;USD;;;;;;;;
47.00;CN;Changsha, Hunan;DE;Hamburg, Hamburg;RAIL;40HC;11;;;COC;Changsha-Hamburg(North);16.00;EquipmentCount;3070;0;USD;;;;;;;;
48.00;CN;Changsha, Hunan;PL;Malaszewicze, Lublin;RAIL;40DC;11;;;COC;Changsha-Malaszewicze(North);14.00;EquipmentCount;3070;0;USD;;;;;;;;
49.00;CN;Changsha, Hunan;PL;Malaszewicze, Lublin;RAIL;40HC;11;;;COC;Changsha-Malaszewicze(North);14.00;EquipmentCount;3070;0;USD;;;;;;;;
50.00;CN;Changshu City, Jiangsu;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;2.00;EquipmentCount;900;0;USD;;;;;;;;
52.00;CN;Changying, Henan;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;2.00;EquipmentCount;780;0;USD;;;;;;;;
53.00;CN;Changzhou, Jiangsu;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;2.00;EquipmentCount;900;0;USD;;;;;;;;
55.00;CN;Chengdu, Sichuan;CN;Chongqing, Chongqing;AUTO;-;6;;;-;-;2.00;EquipmentCount;880;0;USD;;;;;;;;
58.00;CN;Chengdu, Sichuan;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;3.00;EquipmentCount;1430;0;USD;;;;;;;;
59.00;CN;Chengdu, Sichuan;DE;Nuremberg, Bavaria;RAIL;40HC;11;;;COC;Chengdu-Nuremberg(South);20.00;EquipmentCount;3030;0;USD;;;;;;;;
60.00;CN;Chengdu, Sichuan;NL;Tilburg, North Brabant;RAIL;40HC;11;;;COC;Chengdu-Tilburg(South);20.00;EquipmentCount;3130;0;USD;;;;;;;;
61.00;CN;Chengdu, Sichuan;PL;Lodz, Lodz Voivodeship;RAIL;40HC;11;;;COC;Chengdu-Lodz(South);15.00;EquipmentCount;2830;0;USD;;;;;;;;
62.00;CN;Chengdu, Sichuan;RU;Vorsino, Kaluga;RAIL;40HC;6;;;COC;Chengdu-Vorsino(centre);16.00;EquipmentCount;3255;0;USD;;;;;MF includes O&DTHC, security fee. Export CC rate is up to 5 HS codes;基本运费包含目的港装卸费、监管费。HS编码超过5个以上，清关费会增加;;
63.00;CN;Chengdu, Sichuan;RU;Vorsino, Kaluga;RAIL;40HC;6;;;SOC;Chengdu-Vorsino(centre);16.00;EquipmentCount;3255;0;USD;;;;;;;;
66.00;CN;Chongqing, Chongqing;CN;Chengdu, Sichuan;AUTO;-;6;;;-;-;1.00;EquipmentCount;880;0;USD;;;;;;;;
67.00;CN;Chongqing, Chongqing;CN;Chongqing, Chongqing;AUTO;-;6;;;-;-;1.00;EquipmentCount;200;0;USD;;;;1;Rate is estimated and is a subject of confirmation when booking;运费是预估的，订舱前需要重新确认;;
68.00;CN;Chongqing, Chongqing;CN;Shanghai, Shanghai;AUTO;-;11;;;-;-;4.00;EquipmentCount;2030;0;USD;;;;;;;;
69.00;CN;Chongqing, Chongqing;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;3.00;EquipmentCount;1250;0;USD;;;;;;;;
70.00;CN;Chongqing, Chongqing;DE;Duisburg, North Rhine-Westphalia;RAIL;40HC;11;;;COC;Chongqing-Duisburg(South);18.00;EquipmentCount;3970;0;USD;;;;;;;;
71.00;CN;Chongqing, Chongqing;RU;Vorsino, Kaluga;RAIL;40HC;10;;;COC;Chongqing-Vorsino(North);16.00;EquipmentCount;3120;0;USD;;;;;;;;
72.00;CN;Guangzhou, Guangdong;RU;Vorsino, Kaluga;RAIL;40DC;5;;;-;Guangzhou-Vorsino(North);18.00;EquipmentCount;4266;0;USD;;;;;;;;
73.00;CN;Guangzhou, Guangdong;RU;Vorsino, Kaluga;RAIL;40HC;5;;;-;Guangzhou-Vorsino(North);18.00;EquipmentCount;4266;0;USD;;;;;;;;
74.00;CN;Dalian, Liaoning;CN;Shenyang, Liaoning;AUTO;-;10;;;-;-;3.00;EquipmentCount;995;0;USD;;;;;;;;
75.00;CN;Dalian, Liaoning;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;3.00;EquipmentCount;1630;0;USD;;;;;;;;
76.00;CN;Dezhou, Shandong;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;2.00;EquipmentCount;580;0;USD;;;;;;;;
77.00;CN;Dongguan, Guangdong;CN;Changsha, Hunan;AUTO;-;11;;;-;-;2.00;EquipmentCount;1530;0;USD;;;;;;;;
79.00;CN;Dongguan, Guangdong;CN;Guangzhou, Guangdong;AUTO;-;5;;;-;-;1.00;EquipmentCount;450;0;USD;;;;;;;;
80.00;CN;Dongguan, Guangdong;CN;Dongguan, Guangdong;AUTO;-;6;;;-;-;1.00;EquipmentCount;200;0;USD;;;;1;Rate is estimated and is a subject of confirmation when booking;运费是预估的，订舱前需要重新确认;;
82.00;CN;Dongguan, Guangdong;CN;Guangzhou, Guangdong;AUTO;-;10;;;-;-;4.00;EquipmentCount;765;0;USD;;;;;;;;
84.00;CN;Dongguan, Guangdong;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;3.00;EquipmentCount;1630;0;USD;;;;;;;;
86.00;CN;Dongguan, Guangdong;RU;Vorsino, Kaluga;RAIL;40HC;6;;;COC;Dongguan-Vorsino(North);16.00;EquipmentCount;4860;0;USD;;;;;Security fee(USD330) is included in MF. Implemented if HS code requires. Export CC rate is up to 5 HS codes. COC release fee to be confirmed;基本运费包含监管费（USD330）。 如果需要HS代码，我们可以帮助提供。 HS编码超过5个以上，出口清关费会增加。租箱放箱费需要提前确认;;
87.00;CN;Foshan, Guangdong;CN;Changsha, Hunan;AUTO;-;11;;;-;-;2.00;EquipmentCount;1530;0;USD;;;;;;;;
90.00;CN;Foshan, Guangdong;CN;Guangzhou, Guangdong;AUTO;-;6;;;-;-;1.00;EquipmentCount;580;0;USD;;;;;;;;
92.00;CN;Foshan, Guangdong;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;3.00;EquipmentCount;1630;0;USD;;;;;;;;
94.00;CN;Fuzhou, Fujian;CN;Changsha, Hunan;AUTO;-;11;;;-;-;2.00;EquipmentCount;2030;0;USD;;;;;;;;
96.00;CN;Fuzhou, Fujian;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;3.00;EquipmentCount;1480;0;USD;;;;;;;;
97.00;CN;Ganzhou, Jiangxi;CN;Dongguan, Guangdong;AUTO;-;10;;;-;-;2.00;EquipmentCount;930;0;USD;;;;;;;;
98.00;CN;Ganzhou, Jiangxi;CN;Dongguan, Guangdong;AUTO;-;15;;;-;-;2.00;EquipmentCount;1430;0;USD;;;;;;;;
100.00;CN;Ganzhou, Jiangxi;CN;Guangzhou, Guangdong;AUTO;-;6;;;-;-;1.00;EquipmentCount;580;0;USD;;;;;;;;
101.00;CN;Ganzhou, Jiangxi;CN;Guangzhou, Guangdong;AUTO;-;10;;;-;-;2.00;EquipmentCount;930;0;USD;;;;;;;;
102.00;CN;Ganzhou, Jiangxi;CN;Ningbo, Zhejiang;AUTO;-;6;;;-;-;2.00;EquipmentCount;2080;0;USD;;;;;;;;
104.00;CN;Ganzhou, Jiangxi;CN;Shanghai, Shanghai;AUTO;-;6;;;-;-;2.00;EquipmentCount;1880;0;USD;;;;;;;;
106.00;CN;Ganzhou, Jiangxi;CN;Shenzhen, Guangdong;AUTO;-;10;;;-;-;2.00;EquipmentCount;1030;0;USD;;;;;;;;
108.00;CN;Ganzhou, Jiangxi;CN;Suzhou, Jiangsu;AUTO;-;6;;;-;-;2.00;EquipmentCount;1930;0;USD;;;;;;;;
110.00;CN;Ganzhou, Jiangxi;CN;Wenzhou, Zhejiang;AUTO;-;6;;;-;-;2.00;EquipmentCount;2230;0;USD;;;;;;;;
112.00;CN;Ganzhou, Jiangxi;CN;Zhongshan, Guangdong;AUTO;-;10;;;-;-;2.00;EquipmentCount;1130;0;USD;;;;;;;;
114.00;CN;Ganzhou, Jiangxi;DE;Duisburg, North Rhine-Westphalia;RAIL;40HC;15;;;COC;Ganzhou-Duisburg(North);20.00;EquipmentCount;3715;0;USD;;;;;;;;
115.00;CN;Ganzhou, Jiangxi;DE;Hamburg, Hamburg;RAIL;40HC;15;;;COC;Ganzhou-Hamburg(North);20.00;EquipmentCount;3715;0;USD;;;;;;;;
116.00;CN;Ganzhou, Jiangxi;PL;Malaszewicze, Lublin;RAIL;40HC;15;;;COC;Ganzhou-Malaszewicze(North);18.00;EquipmentCount;3515;0;USD;;;;;;;;
117.00;CN;Ganzhou, Jiangxi;PL;Warsaw, Mazovia;RAIL;40HC;15;;;COC;Ganzhou-Warsaw(North);18.00;EquipmentCount;3565;0;USD;;;;;;;;
118.00;CN;Ganzhou, Jiangxi;RU;Vorsino, Kaluga;RAIL;40HC;6;;;COC;Ganzhou-Vorsino(North);16.00;EquipmentCount;2960;0;USD;;;;;Security fee(USD330) is included in MF. Implemented if HS code requires. Export CC rate is up to 5 HS codes;基本运费包含监管费（USD330）。 如果需要HS代码，我们可以帮助提供。 HS编码超过5个以上，出口清关费会增加;;
119.00;CN;Guangzhou, Guangdong;CN;Changsha, Hunan;AUTO;-;11;;;-;-;2.00;EquipmentCount;1530;0;USD;;;;;;;;
122.00;CN;Guangzhou, Guangdong;CN;Guangzhou, Guangdong;AUTO;-;5;;;-;-;1.00;EquipmentCount;350;0;USD;;;;1;;;;
124.00;CN;Guangzhou, Guangdong;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;3.00;EquipmentCount;1630;0;USD;;;;;;;;
126.00;CN;Guangzhou, Guangdong;RU;Vorsino, Kaluga;RAIL;40DC;6;;;COC;Guangzhou-Vorsino(North);16.00;EquipmentCount;5130;0;USD;;;;;Security fee(USD330) is included in MF. Implemented if HS code requires. Export CC rate is up to 5 HS codes;基本运费包含监管费（USD330）。 如果需要HS代码，我们可以帮助提供。 HS编码超过5个以上，出口清关费会增加;;
127.00;CN;Guangzhou, Guangdong;RU;Vorsino, Kaluga;RAIL;40HC;6;;;COC;Guangzhou-Vorsino(North);16.00;EquipmentCount;5130;0;USD;;;;;Security fee(USD330) is included in MF. Implemented if HS code requires. Export CC rate is up to 5 HS codes;基本运费包含监管费（USD330）。 如果需要HS代码，我们可以帮助提供。 HS编码超过5个以上，出口清关费会增加;;
129.00;CN;Haining, Zhejiang;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;2.00;EquipmentCount;1030;0;USD;;;;;;;;
130.00;CN;Handan, Hebei;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;1.00;EquipmentCount;290;0;USD;;;;;;;;
131.00;CN;Hangzhou, Zhejiang;CN;Changsha, Hunan;AUTO;-;11;;;-;-;2.00;EquipmentCount;1730;0;USD;;;;;;;;
134.00;CN;Hangzhou, Zhejiang;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;2.00;EquipmentCount;1030;0;USD;;;;;;;;
135.00;CN;Hefei, Anhui;CN;Changsha, Hunan;AUTO;-;11;;;-;-;2.00;EquipmentCount;2130;0;USD;;;;;;;;
136.00;CN;Hefei, Anhui;CN;Hefei, Anhui;AUTO;-;11;;;-;-;1.00;EquipmentCount;200;0;USD;;;;1;Rate is estimated and is a subject of confirmation when booking;运费是预估的，订舱前需要重新确认;;
138.00;CN;Hefei, Anhui;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;2.00;EquipmentCount;680;0;USD;;;;;;;;
140.00;CN;Huzhou, Zhejiang;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;2.00;EquipmentCount;980;0;USD;;;;;;;;
141.00;CN;Jiangyin, Jiangsu;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;2.00;EquipmentCount;880;0;USD;;;;;;;;
142.00;CN;Jiaxing, Zhejiang;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;2.00;EquipmentCount;1030;0;USD;;;;;;;;
143.00;CN;Jinan, Shandong;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;1.00;EquipmentCount;530;0;USD;;;;;;;;
145.00;CN;Jinhua, Zhejiang;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;3.00;EquipmentCount;1180;0;USD;;;;;;;;
146.00;CN;Kunshan, Jiangsu;CN;Changsha, Hunan;AUTO;-;11;;;-;-;3.00;EquipmentCount;1830;0;USD;;;;;;;;
149.00;CN;Kunshan, Jiangsu;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;2.00;EquipmentCount;1030;0;USD;;;;;;;;
150.00;CN;Langfang, Hebei;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;2.00;EquipmentCount;730;0;USD;;;;;;;;
151.00;CN;Lianyungang, Jiangsu;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;2.00;EquipmentCount;680;0;USD;;;;;;;;
153.00;CN;Linyi, Shandong;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;2.00;EquipmentCount;630;0;USD;;;;;;;;
154.00;CN;Linyi, Shandong;RU;Vorsino, Kaluga;RAIL;40DC;10;;;COC;Linyi-Vorsino(North);16.00;EquipmentCount;3840;0;USD;;;;;;;;
155.00;CN;Linyi, Shandong;RU;Vorsino, Kaluga;RAIL;40HC;10;;;COC;Linyi-Vorsino(North);16.00;EquipmentCount;3840;0;USD;;;;;;;;
157.00;CN;Maanshan, Anhui;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;2.00;EquipmentCount;780;0;USD;;;;;;;;
158.00;CN;Maoming, Guangdong;CN;Changsha, Hunan;AUTO;-;11;;;-;-;6.00;EquipmentCount;1900;0;EUR;;;;;;;;
159.00;CN;Nanjing, Jiangsu;CN;Nanjing, Jiangsu;AUTO;-;6;;;-;-;1.00;EquipmentCount;200;0;USD;;;;1;Rate is estimated and is a subject of confirmation when booking;运费是预估的，订舱前需要重新确认;;
160.00;CN;Nanjing, Jiangsu;CN;Ningbo, Zhejiang;AUTO;-;6;;;-;-;2.00;EquipmentCount;1130;0;USD;;;;;;;;
162.00;CN;Nanjing, Jiangsu;CN;Shanghai, Shanghai;AUTO;-;6;;;-;-;2.00;EquipmentCount;830;0;USD;;;;;;;;
164.00;CN;Nanjing, Jiangsu;CN;Wenzhou, Zhejiang;AUTO;-;6;;;-;-;2.00;EquipmentCount;1330;0;USD;;;;;;;;
166.00;CN;Nanjing, Jiangsu;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;2.00;EquipmentCount;730;0;USD;;;;;;;;
167.00;CN;Suzhou, Jiangsu;RU;Chelyabinsk, Chelyabinsk;RAIL;40HC;6;;;COC;Suzhou-Chelyabinsk(North);16.00;EquipmentCount;4136.4;0;USD;;;;;CC rate - up to 5 HS codes;HS编码超过5个以上，清关费会增加;;
168.00;CN;Suzhou, Jiangsu;RU;Irkutsk, Irkutsk;RAIL;40HC;6;;;COC;Suzhou-Irkutsk(North);16.00;EquipmentCount;3480;0;USD;;;;;CC rate - up to 5 HS codes;HS编码超过5个以上，清关费会增加;;
169.00;CN;Suzhou, Jiangsu;RU;Kazan, Tatarstan;RAIL;40HC;6;;;COC;Suzhou-Kazan(North);16.00;EquipmentCount;4784.4;0;USD;;;;;CC rate - up to 5 HS codes;HS编码超过5个以上，清关费会增加;;
170.00;CN;Suzhou, Jiangsu;RU;Krasnoyarsk, Krasnoyarskiy;RAIL;40HC;6;;;COC;Suzhou-Krasnoyarsk(North);16.00;EquipmentCount;3830;0;USD;;;;;CC rate - up to 5 HS codes;HS编码超过5个以上，清关费会增加;;
171.00;CN;Suzhou, Jiangsu;RU;Novosibirsk, Novosibirsk;RAIL;40HC;6;;;COC;Suzhou-Novosibirsk(North);16.00;EquipmentCount;3730;0;USD;;;;;CC rate - up to 5 HS codes;HS编码超过5个以上，清关费会增加;;
172.00;CN;Nanjing, Jiangsu;RU;Vorsino, Kaluga;RAIL;40DC;6;;;COC;Nanjing-Vorsino(North);16.00;EquipmentCount;3390;0;USD;;;;;;;;
173.00;CN;Nanjing, Jiangsu;RU;Vorsino, Kaluga;RAIL;40HC;6;;;COC;Nanjing-Vorsino(North);16.00;EquipmentCount;3390;0;USD;;;;;CC rate - up to 5 HS codes;HS编码超过5个以上，清关费会增加;;
174.00;CN;Suzhou, Jiangsu;RU;Yekaterinburg, Sverdlovsk;RAIL;40HC;6;;;COC;Suzhou-Yekaterinburg(North);16.00;EquipmentCount;4136.4;0;USD;;;;;CC rate - up to 5 HS codes;HS编码超过5个以上，清关费会增加;;
175.00;CN;Nantong, Jiangsu;CN;Changsha, Hunan;AUTO;-;11;;;-;-;3.00;EquipmentCount;1930;0;USD;;;;;;;;
176.00;CN;Nantong, Jiangsu;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;2.00;EquipmentCount;930;0;USD;;;;;;;;
177.00;CN;Ningbo, Zhejiang;CN;Changsha, Hunan;AUTO;-;11;;;-;-;3.00;EquipmentCount;1930;0;USD;;;;;;;;
179.00;CN;Ningbo, Zhejiang;CN;Ganzhou, Jiangxi;AUTO;-;6;;;-;-;1.00;EquipmentCount;2030;0;USD;;;;;;;;
180.00;CN;Ningbo, Zhejiang;CN;Nanjing, Jiangsu;AUTO;-;6;;;-;-;2.00;EquipmentCount;1280;0;USD;;;;;;;;
181.00;CN;Ningbo, Zhejiang;CN;Suzhou, Jiangsu;AUTO;-;10;;;-;-;2.00;EquipmentCount;780;0;USD;;;;;;;;
183.00;CN;Ningbo, Zhejiang;CN;Yiwu, Zhejiang;AUTO;-;6;;;-;-;2.00;EquipmentCount;530;0;USD;;;;;Empty pick up in NIngbo;在宁波提箱;;
184.00;CN;Ningbo, Zhejiang;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;3.00;EquipmentCount;1180;0;USD;;;;;;;;
185.00;CN;Qingdao, Shandong;CN;Shenyang, Liaoning;AUTO;-;10;;;-;-;3.00;EquipmentCount;2445;0;USD;;;;;;;;
188.00;CN;Qingdao, Shandong;CN;Zhengzhou, Henan;AUTO;-;19;;;-;-;2.00;EquipmentCount;830;0;USD;;;;;;;;
